filepath,split,label,label_source,group_id,sha256
data/raw/Dataset/train/Normal/normal100.jpg,train,Normal,class_folder,unknown,ba0d97a49d9950cda80826f6206564b207344e086844fcaef17429e9bbbdb64f
data/raw/Dataset/train/Normal/normal101.jpg,train,Normal,class_folder,unknown,a3dede2aa96d8d38684e6772f20f1ea619a91784d980572bdf82b399bc359721
data/raw/Dataset/train/Normal/normal102.jpg,train,Normal,class_folder,unknown,604fe6f02a0d58f33abe9d80039fc8af73c803b797d8769a290251416c52eeac
data/raw/Dataset/train/Normal/normal103.jpg,train,Normal,class_folder,unknown,35db75e801886cc7dd76c34d7eaebe792cc79c22409a90ff4395baad43b831fc
data/raw/Dataset/train/Normal/normal104.jpg,train,Normal,class_folder,unknown,0feecf32282c7e177bbc3fdeeccabd8b5894f9e7c8d8c91e9fb33f148afb3d5a
data/raw/Dataset/train/Normal/normal105.jpg,train,Normal,class_folder,unknown,a998d8593951792df0d10a147e739a7046cc466c73309834c068c1fc8a45b2e7
data/raw/Dataset/train/Normal/normal106.jpg,train,Normal,class_folder,unknown,86124caf5991b2e7fd8e0dce1b7437a8acbda8a9abba721d21e4f15c8796e90d
data/raw/Dataset/train/Normal/normal107.jpg,train,Normal,class_folder,unknown,aa8af46597d0d9a19e24a2205fd3c3958a0c0f579ef3510ba4deb05875a4ef48
data/raw/Dataset/train/Normal/normal108.jpg,train,Normal,class_folder,unknown,3fbc7f260f1bd991809beb9299ff192acdd0ae32e23e09c5352750d339c278be
data/raw/Dataset/train/Normal/normal109.jpg,train,Normal,class_folder,unknown,6298ad7866ca5cd918843978df7771cca7a07f8da06fc941289a976cf4698027
data/raw/Dataset/train/Normal/normal110.jpg,train,Normal,class_folder,unknown,40d2fb0cddad752c68f6cb822f06c5b15cf52573918dfa1ef7a75f4e29104de5
data/raw/Dataset/train/Normal/normal111.jpg,train,Normal,class_folder,unknown,cfe5ca9a1a8107da12bca084d7a5e04aa68de2e5f7be4331dcfbfd803a1fdb92
data/raw/Dataset/train/Normal/normal112.jpg,train,Normal,class_folder,unknown,bdb589a059721e2cff2ceb9f058c72277b1f962ec521ecc27bcd809229b9973d
data/raw/Dataset/train/Normal/normal113.jpg,train,Normal,class_folder,unknown,56f8d0fa0802af839f3b06f2c96ad37059fa86f62e51691c2424de7a18b6eb42
data/raw/Dataset/train/Normal/normal115.jpg,train,Normal,class_folder,unknown,9975bbb31131459ab128d10482d7661ba4bec92c02441f5f90d022cfe514316d
data/raw/Dataset/train/Normal/normal116.jpg,train,Normal,class_folder,unknown,05801a1627c70e85690a566e6ece612e12aca84efa5964b9227d203e36e2fa39
data/raw/Dataset/train/Normal/normal117.jpg,train,Normal,class_folder,unknown,2b192310b1b7380c9803253515f13a6a371dd521c6103fe8da09f043f8c78dc7
data/raw/Dataset/train/Normal/normal118.jpg,train,Normal,class_folder,unknown,1d2df8792f58ea4d57b9195f4f7d8d3c3fdd89b45020f7950339738f0c0077c6
data/raw/Dataset/train/Normal/normal119.jpg,train,Normal,class_folder,unknown,e79fe3750dc2215b0ffc3a28ab8b5926af18e87d513a3475468d7dfcc6fd1a0c
data/raw/Dataset/train/Normal/normal120.jpg,train,Normal,class_folder,unknown,bb3e514648a32ff2ce04e38569ce4a591e3483531f3b79adf137e082437fb14b
data/raw/Dataset/train/Normal/normal121.jpg,train,Normal,class_folder,unknown,3809ce7c19bbfbc61e208d73c143ace1c1c345fe8e190d3def894120bbccd6d6
data/raw/Dataset/train/Normal/normal123.jpg,train,Normal,class_folder,unknown,9ee6507c4ab10da30eed7b4cbc9dcf78261b0ccc89015c8a15c9dbc4fb73196f
data/raw/Dataset/train/Normal/normal125.jpg,train,Normal,class_folder,unknown,6c0a1ea02490a451c500c4774da71752ac2a122adfbd68d3f60597f69c7c71d1
data/raw/Dataset/train/Normal/normal126.jpg,train,Normal,class_folder,unknown,ca98c656c2d7e11ee68e55ecbabc93f3dbfdf1a09c1d4d359a4464270f87ee70
data/raw/Dataset/train/Normal/normal127.jpg,train,Normal,class_folder,unknown,1165e85889c1eb9347087163b9180447891ebca41e1ad2c832ab98c26818a286
data/raw/Dataset/train/Normal/normal128.jpg,train,Normal,class_folder,unknown,b96ce804aca432d582d697f5e944259083ad86e1eaa207dd34db27db9dbb67e7
data/raw/Dataset/train/Normal/normal129.jpg,train,Normal,class_folder,unknown,ad6e350d6942e48f3ff3f38562a8aa262b0bf560afb5dd4d83073a7f49d92545
data/raw/Dataset/train/Normal/normal130.jpg,train,Normal,class_folder,unknown,086a5a232f7a69ab9f046b5fa2785782bb92ee92f709508da0784e4db638e741
data/raw/Dataset/train/Normal/normal131.jpg,train,Normal,class_folder,unknown,836fee14043b69009af676996eb49b73c1ac66c2cb74e55ff9d60324470be10c
