candidate_id,source_id,original_source_split,source_record_id,source_image_path,sha256,proposed_multiclass_label,split_group_id,split,manifest_status
github_pothole::github_pothole::img-1,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-1,data/raw/v2/pothole_github/Pothole Dataset/img-1.jpg,a1b2da05c00ea71461a90815005b3b38d8ce8a1d603b3e4d0445513df7ae9a30,pothole,jaygala24_pothole_detection::github_pothole::img-1,train,proposed_not_materialized
github_pothole::github_pothole::img-10,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-10,data/raw/v2/pothole_github/Pothole Dataset/img-10.jpg,cf7038981864142a0d2fce14e07f6ff6a3a6e13a7815c82921bf2b6e529bbabb,pothole,jaygala24_pothole_detection::github_pothole::img-10,train,proposed_not_materialized
github_pothole::github_pothole::img-100,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-100,data/raw/v2/pothole_github/Pothole Dataset/img-100.jpg,119e1495b6572fca432c89caffa98ccbc6d2d11143ccf984ac6a9cc839f6af02,pothole,jaygala24_pothole_detection::github_pothole::img-100,train,proposed_not_materialized
github_pothole::github_pothole::img-1000,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-1000,data/raw/v2/pothole_github/Pothole Dataset/img-1000.jpg,fe61b79aeef03747748770e1d165d9ab4f1e8d20ff5604e2ac2fb58c8e6f0ca7,pothole,jaygala24_pothole_detection::github_pothole::img-1000,train,proposed_not_materialized
github_pothole::github_pothole::img-1001,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-1001,data/raw/v2/pothole_github/Pothole Dataset/img-1001.jpg,304a6babaf6ba60bb14c032b124d31c9ef32b9ba0e617d9f7f20c2c49f23ccc6,pothole,jaygala24_pothole_detection::github_pothole::img-1001,train,proposed_not_materialized
github_pothole::github_pothole::img-1002,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-1002,data/raw/v2/pothole_github/Pothole Dataset/img-1002.jpg,31abafaa34bc0f03c4a25453c6428c5a650c88f3e467768617e2891b14911466,pothole,jaygala24_pothole_detection::github_pothole::img-1002,validation,proposed_not_materialized
github_pothole::github_pothole::img-1003,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-1003,data/raw/v2/pothole_github/Pothole Dataset/img-1003.jpg,16e64a975bf5bec63418dea8fa11aaa53df4ab522e1b7de0f8d2a9fca6f7fa12,pothole,jaygala24_pothole_detection::github_pothole::img-1003,validation,proposed_not_materialized
github_pothole::github_pothole::img-1004,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-1004,data/raw/v2/pothole_github/Pothole Dataset/img-1004.jpg,714697274f03d855923b209668fd4559fa33d57826531414263358375de1b444,pothole,jaygala24_pothole_detection::github_pothole::img-1004,train,proposed_not_materialized
github_pothole::github_pothole::img-1006,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-1006,data/raw/v2/pothole_github/Pothole Dataset/img-1006.jpg,d46241aa3e786b535eaf9681f5d62a39f468bd66f8c3f90004afced567a73dc9,pothole,jaygala24_pothole_detection::github_pothole::img-1006,protected_test,proposed_not_materialized
github_pothole::github_pothole::img-1007,jaygala24_pothole_detection,unsplit_source_collection,github_pothole::img-1007,data/raw/v2/pothole_github/Pothole Dataset/img-1007.jpg,aa8bf6e9552d3990ce99fa5772b89a0a60d9140d21eba8aac96ac524db8b35ba,pothole,jaygala24_pothole_detection::github_pothole::img-1007,validation,proposed_not_materialized
