review_id,candidate_id,source_dataset,source_split,source_record_id,source_image_path,primary_road_label,human_decision,reviewer_notes,training_status
SHC-001,streetsurfacevis::train::387053769645706,StreetSurfaceVis,train,387053769645706,data/raw/v2/streetsurfacevis/s_1024/387053769645706.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-002,streetsurfacevis::train::807081436877102,StreetSurfaceVis,train,807081436877102,data/raw/v2/streetsurfacevis/s_1024/807081436877102.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-003,streetsurfacevis::train::1935704469913780,StreetSurfaceVis,train,1935704469913780,data/raw/v2/streetsurfacevis/s_1024/1935704469913780.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-004,streetsurfacevis::train::2245216815631355,StreetSurfaceVis,train,2245216815631355,data/raw/v2/streetsurfacevis/s_1024/2245216815631355.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-005,streetsurfacevis::train::4083560831682598,StreetSurfaceVis,train,4083560831682598,data/raw/v2/streetsurfacevis/s_1024/4083560831682598.jpg,normal_asphalt,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-006,streetsurfacevis::train::683634355978781,StreetSurfaceVis,train,683634355978781,data/raw/v2/streetsurfacevis/s_1024/683634355978781.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-007,streetsurfacevis::train::475250690455746,StreetSurfaceVis,train,475250690455746,data/raw/v2/streetsurfacevis/s_1024/475250690455746.jpg,normal_asphalt,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-008,streetsurfacevis::train::759485928272548,StreetSurfaceVis,train,759485928272548,data/raw/v2/streetsurfacevis/s_1024/759485928272548.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-009,streetsurfacevis::train::826107518284061,StreetSurfaceVis,train,826107518284061,data/raw/v2/streetsurfacevis/s_1024/826107518284061.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-010,streetsurfacevis::train::951551752943194,StreetSurfaceVis,train,951551752943194,data/raw/v2/streetsurfacevis/s_1024/951551752943194.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-011,streetsurfacevis::train::303593837938660,StreetSurfaceVis,train,303593837938660,data/raw/v2/streetsurfacevis/s_1024/303593837938660.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-012,streetsurfacevis::train::168585915191277,StreetSurfaceVis,train,168585915191277,data/raw/v2/streetsurfacevis/s_1024/168585915191277.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-013,streetsurfacevis::train::310716197237795,StreetSurfaceVis,train,310716197237795,data/raw/v2/streetsurfacevis/s_1024/310716197237795.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-014,streetsurfacevis::train::2807390949576171,StreetSurfaceVis,train,2807390949576171,data/raw/v2/streetsurfacevis/s_1024/2807390949576171.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-015,streetsurfacevis::train::881525869781998,StreetSurfaceVis,train,881525869781998,data/raw/v2/streetsurfacevis/s_1024/881525869781998.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-016,streetsurfacevis::train::120327113867366,StreetSurfaceVis,train,120327113867366,data/raw/v2/streetsurfacevis/s_1024/120327113867366.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-017,streetsurfacevis::train::1788061291589378,StreetSurfaceVis,train,1788061291589378,data/raw/v2/streetsurfacevis/s_1024/1788061291589378.jpg,normal_asphalt,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-018,streetsurfacevis::train::308218220651010,StreetSurfaceVis,train,308218220651010,data/raw/v2/streetsurfacevis/s_1024/308218220651010.jpg,unpaved_road,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-019,streetsurfacevis::train::2660633590841922,StreetSurfaceVis,train,2660633590841922,data/raw/v2/streetsurfacevis/s_1024/2660633590841922.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-020,streetsurfacevis::train::298912465026321,StreetSurfaceVis,train,298912465026321,data/raw/v2/streetsurfacevis/s_1024/298912465026321.jpg,unpaved_road,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-021,streetsurfacevis::train::314577030186053,StreetSurfaceVis,train,314577030186053,data/raw/v2/streetsurfacevis/s_1024/314577030186053.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-022,streetsurfacevis::train::437980108148172,StreetSurfaceVis,train,437980108148172,data/raw/v2/streetsurfacevis/s_1024/437980108148172.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-023,streetsurfacevis::train::2273745339436121,StreetSurfaceVis,train,2273745339436121,data/raw/v2/streetsurfacevis/s_1024/2273745339436121.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-024,streetsurfacevis::train::510913250087205,StreetSurfaceVis,train,510913250087205,data/raw/v2/streetsurfacevis/s_1024/510913250087205.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-025,streetsurfacevis::train::181308047218781,StreetSurfaceVis,train,181308047218781,data/raw/v2/streetsurfacevis/s_1024/181308047218781.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-026,streetsurfacevis::train::2939732132929665,StreetSurfaceVis,train,2939732132929665,data/raw/v2/streetsurfacevis/s_1024/2939732132929665.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-027,streetsurfacevis::train::139169918256250,StreetSurfaceVis,train,139169918256250,data/raw/v2/streetsurfacevis/s_1024/139169918256250.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-028,streetsurfacevis::train::933939060778844,StreetSurfaceVis,train,933939060778844,data/raw/v2/streetsurfacevis/s_1024/933939060778844.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-029,streetsurfacevis::train::777860316934426,StreetSurfaceVis,train,777860316934426,data/raw/v2/streetsurfacevis/s_1024/777860316934426.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-030,streetsurfacevis::train::1186097935289887,StreetSurfaceVis,train,1186097935289887,data/raw/v2/streetsurfacevis/s_1024/1186097935289887.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-031,streetsurfacevis::train::384540989438987,StreetSurfaceVis,train,384540989438987,data/raw/v2/streetsurfacevis/s_1024/384540989438987.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-032,streetsurfacevis::train::307491000995071,StreetSurfaceVis,train,307491000995071,data/raw/v2/streetsurfacevis/s_1024/307491000995071.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-033,streetsurfacevis::train::622139943084244,StreetSurfaceVis,train,622139943084244,data/raw/v2/streetsurfacevis/s_1024/622139943084244.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-034,streetsurfacevis::train::747889975879252,StreetSurfaceVis,train,747889975879252,data/raw/v2/streetsurfacevis/s_1024/747889975879252.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-035,streetsurfacevis::train::378957980103499,StreetSurfaceVis,train,378957980103499,data/raw/v2/streetsurfacevis/s_1024/378957980103499.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-036,streetsurfacevis::train::402311471988862,StreetSurfaceVis,train,402311471988862,data/raw/v2/streetsurfacevis/s_1024/402311471988862.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-037,streetsurfacevis::train::176843411017208,StreetSurfaceVis,train,176843411017208,data/raw/v2/streetsurfacevis/s_1024/176843411017208.jpg,normal_asphalt,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-038,streetsurfacevis::train::2495703727241395,StreetSurfaceVis,train,2495703727241395,data/raw/v2/streetsurfacevis/s_1024/2495703727241395.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-039,streetsurfacevis::train::328089486133724,StreetSurfaceVis,train,328089486133724,data/raw/v2/streetsurfacevis/s_1024/328089486133724.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-040,streetsurfacevis::train::526604292558981,StreetSurfaceVis,train,526604292558981,data/raw/v2/streetsurfacevis/s_1024/526604292558981.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-041,streetsurfacevis::train::1049314595676107,StreetSurfaceVis,train,1049314595676107,data/raw/v2/streetsurfacevis/s_1024/1049314595676107.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-042,streetsurfacevis::train::952838519326149,StreetSurfaceVis,train,952838519326149,data/raw/v2/streetsurfacevis/s_1024/952838519326149.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-043,streetsurfacevis::train::204913651447887,StreetSurfaceVis,train,204913651447887,data/raw/v2/streetsurfacevis/s_1024/204913651447887.jpg,normal_asphalt,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-044,streetsurfacevis::train::508321237028095,StreetSurfaceVis,train,508321237028095,data/raw/v2/streetsurfacevis/s_1024/508321237028095.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-045,streetsurfacevis::train::520863578936825,StreetSurfaceVis,train,520863578936825,data/raw/v2/streetsurfacevis/s_1024/520863578936825.jpg,normal_asphalt,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-046,streetsurfacevis::train::949628032537945,StreetSurfaceVis,train,949628032537945,data/raw/v2/streetsurfacevis/s_1024/949628032537945.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-047,streetsurfacevis::train::1689868921185534,StreetSurfaceVis,train,1689868921185534,data/raw/v2/streetsurfacevis/s_1024/1689868921185534.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-048,streetsurfacevis::train::479313909981618,StreetSurfaceVis,train,479313909981618,data/raw/v2/streetsurfacevis/s_1024/479313909981618.jpg,unpaved_road,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-049,streetsurfacevis::train::750876553479452,StreetSurfaceVis,train,750876553479452,data/raw/v2/streetsurfacevis/s_1024/750876553479452.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-050,streetsurfacevis::train::2577029312602779,StreetSurfaceVis,train,2577029312602779,data/raw/v2/streetsurfacevis/s_1024/2577029312602779.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-051,streetsurfacevis::train::660659185947673,StreetSurfaceVis,train,660659185947673,data/raw/v2/streetsurfacevis/s_1024/660659185947673.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-052,streetsurfacevis::train::196222005656732,StreetSurfaceVis,train,196222005656732,data/raw/v2/streetsurfacevis/s_1024/196222005656732.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-053,streetsurfacevis::train::757184261825380,StreetSurfaceVis,train,757184261825380,data/raw/v2/streetsurfacevis/s_1024/757184261825380.jpg,normal_asphalt,exclude_no_shadow,,excluded_from_shadow_candidate_set
SHC-054,streetsurfacevis::train::837970896819599,StreetSurfaceVis,train,837970896819599,data/raw/v2/streetsurfacevis/s_1024/837970896819599.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-055,streetsurfacevis::train::2790059851304330,StreetSurfaceVis,train,2790059851304330,data/raw/v2/streetsurfacevis/s_1024/2790059851304330.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-056,streetsurfacevis::train::240147194706566,StreetSurfaceVis,train,240147194706566,data/raw/v2/streetsurfacevis/s_1024/240147194706566.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-057,streetsurfacevis::train::983380299076038,StreetSurfaceVis,train,983380299076038,data/raw/v2/streetsurfacevis/s_1024/983380299076038.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
SHC-058,streetsurfacevis::train::1143604186142613,StreetSurfaceVis,train,1143604186142613,data/raw/v2/streetsurfacevis/s_1024/1143604186142613.jpg,unpaved_road,keep_shadow,,approved_shadow_candidate
SHC-059,streetsurfacevis::train::6387681008014431,StreetSurfaceVis,train,6387681008014431,data/raw/v2/streetsurfacevis/s_1024/6387681008014431.jpg,normal_asphalt,keep_shadow,,approved_shadow_candidate
