image_id,candidate_label,surface_type,surface_quality,official_train,width,height,long_side_at_least_1024,file_size_bytes,sha256,relative_image_path,user_id,captured_at,exact_duplicate_group
1001349260556407,Unpaved_road,unpaved,bad,True,1022,460,False,158448,774158b538841ac26ab6d0d959f3de9d1ae470987afa6b6b5578a16d1fc68adb,data/raw/v2/streetsurfacevis/s_1024/1001349260556407.jpg,102468835332129,1659015876793,
1001853784055707,Normal_asphalt,asphalt,excellent,True,1024,768,True,125393,8f768b88ae401b9b27f62cc885f325786b16dea38a7d7f4cad65a9d800a186f6,data/raw/v2/streetsurfacevis/s_1024/1001853784055707.jpg,102627028648372,1652268883000,
1002131400702235,Normal_asphalt,asphalt,excellent,True,1024,768,True,139216,d126ee9afb16ba651b2c4cc3bdaf129a5f8132e7dccb8a9cd5e495e1bc66f40c,data/raw/v2/streetsurfacevis/s_1024/1002131400702235.jpg,101545352092712,1613838127004,
1005162660302046,Normal_asphalt,asphalt,excellent,True,1024,768,True,160010,6a2f0241e82221c92b73d56d19732b8462c8b6cbfc348e2e0b41caab702da4fd,data/raw/v2/streetsurfacevis/s_1024/1005162660302046.jpg,103658281877634,1627398649361,
1006308606568902,Normal_asphalt,asphalt,excellent,True,1024,768,True,105628,02995860cab004eb93be59aa1dce410e7804a05f61d56538ade8e31f12e94cca,data/raw/v2/streetsurfacevis/s_1024/1006308606568902.jpg,108954524668583,1588515257000,
1009149569621856,Normal_asphalt,asphalt,excellent,True,1024,576,True,124881,0aa42c1769c5c9c908dd66b9cf0f6f8d1177c460063bea8eb2efac0340d940d0,data/raw/v2/streetsurfacevis/s_1024/1009149569621856.jpg,103606985215406,1622478218274,
1009829936396350,Unpaved_road,unpaved,bad,True,1024,768,True,231964,55a055ba7b89e6b4f8d737fc7916b54f3adf0a425500eb6cb0db68be86590925,data/raw/v2/streetsurfacevis/s_1024/1009829936396350.jpg,113294298038447,1657561836831,
1015080322565099,Unpaved_road,unpaved,intermediate,True,1024,768,True,112173,73982a6dc3c1ce588dd0641871e55c8363f4394bd017d20162b8b1b4927449fc,data/raw/v2/streetsurfacevis/s_1024/1015080322565099.jpg,110491117849516,1534665567091,
1015672775631247,Unpaved_road,unpaved,bad,True,1024,768,True,184018,cdb9e03a5357824daa63abf75aa2530066a7d51ca135b554da8cad9405b16fd5,data/raw/v2/streetsurfacevis/s_1024/1015672775631247.jpg,110552844504419,1498066716000,
1015823332898174,Unpaved_road,unpaved,very_bad,True,1024,768,True,166843,5ce98fe5a885f478406e2af7491519ac86177c95f345c3db199b10e8e5994702,data/raw/v2/streetsurfacevis/s_1024/1015823332898174.jpg,103550301888099,1694435404000,
1017820279530356,Unpaved_road,unpaved,very_bad,True,1024,768,True,127376,f4387d3ae41bf1df37d3a057dbf012eff1d1815bcafa4849421519e3dddc7f9e,data/raw/v2/streetsurfacevis/s_1024/1017820279530356.jpg,103550301888099,1694435389000,
1021831158426809,Normal_asphalt,asphalt,excellent,True,1024,768,True,100434,5abc64aac33d66858a45b7582641396c6bd6fc0ddf06b0d4ca85c6895274ae33,data/raw/v2/streetsurfacevis/s_1024/1021831158426809.jpg,100232345559807,1652422402838,
1028209901931544,Unpaved_road,unpaved,very_bad,True,1024,768,True,162660,aacd72f0be347130168c48412853d3f8b4a8da8917d79a5723a4b880a1078ce3,data/raw/v2/streetsurfacevis/s_1024/1028209901931544.jpg,103550301888099,1694435402000,
1029120734447590,Normal_asphalt,asphalt,excellent,True,1024,768,True,100077,7c3a10896efe0b7decd320b662929d1067d29d539195342e11d1b1f603a88e5e,data/raw/v2/streetsurfacevis/s_1024/1029120734447590.jpg,108725531582408,1656084703572,
1030379461069890,Unpaved_road,unpaved,bad,True,1024,768,True,181682,8c2e01e92ba9efcc497e0476fe60f25087085652d0a6ea555e2dbb4af519fd75,data/raw/v2/streetsurfacevis/s_1024/1030379461069890.jpg,103901361851883,1631193728000,
1031193767438321,Normal_asphalt,asphalt,excellent,True,1024,768,True,106037,7bfde66121a093704125dc9094a3f91702352b207db5562ef5dd154cae58eba9,data/raw/v2/streetsurfacevis/s_1024/1031193767438321.jpg,100232345559807,1641046544500,
1032820540583701,Unpaved_road,unpaved,bad,True,1024,768,True,229179,2715fc749edab6542bc1e8b46cc40d893c4c521df56cfc595805daab5075b613,data/raw/v2/streetsurfacevis/s_1024/1032820540583701.jpg,107164461520710,1615733644547,
1034228777365011,Unpaved_road,unpaved,bad,True,1024,768,True,176645,970e2bf83b57881eacdd3100f71ad6bb9608ceb6291e856f7d3e115490853370,data/raw/v2/streetsurfacevis/s_1024/1034228777365011.jpg,100232345559807,1629449112500,
