candidate_id,source_dataset,source_split,source_image_id,split_group_id,region,source_image_path,target_index,target_box_xywh,target_min_side_px,full_image_labels,nearby_other_labels,prefilter_status,human_review_status,review_round,review_focus,human_decision,reviewer_note,training_status,evidence_status
svrdd::train::01002200001307161211513245D_1297951900_483044900::repaired_road::000,SVRDD_YOLO,train,01002200001307161211513245D_1297951900_483044900,svrdd::train::01002200001307161211513245D_1297951900_483044900,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/01002200001307161211513245D_1297951900_483044900.jpg,0,"223.000,641.999,411.000,12.000",12.000,repaired_road,,hold_target_too_small,not_individually_reviewed,,,,,hold_target_too_small,automated_prefilter_hold
svrdd::train::01002200001307161211513245D_1297951900_483044900::repaired_road::001,SVRDD_YOLO,train,01002200001307161211513245D_1297951900_483044900,svrdd::train::01002200001307161211513245D_1297951900_483044900,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/01002200001307161211513245D_1297951900_483044900.jpg,1,"225.000,541.000,91.000,45.000",45.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
svrdd::train::01002200001307161215411745D_1297923200_483131600::repaired_road::000,SVRDD_YOLO,train,01002200001307161215411745D_1297923200_483131600,svrdd::train::01002200001307161215411745D_1297923200_483131600,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/01002200001307161215411745D_1297923200_483131600.jpg,0,"223.000,718.000,208.000,37.000",37.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
svrdd::train::01002200001307161215411745D_1297923200_483131600::repaired_road::001,SVRDD_YOLO,train,01002200001307161215411745D_1297923200_483131600,svrdd::train::01002200001307161215411745D_1297923200_483131600,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/01002200001307161215411745D_1297923200_483131600.jpg,1,"2.000,670.001,172.000,52.000",52.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
svrdd::train::01002200001307170915546095F_1293006400_485002600::repaired_road::000,SVRDD_YOLO,train,01002200001307170915546095F_1293006400_485002600,svrdd::train::01002200001307170915546095F_1293006400_485002600,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170915546095F_1293006400_485002600.jpg,0,"1.000,722.999,1022.000,113.000",113.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
svrdd::train::01002200001307170916572995F_1292973300_484926400::repaired_road::000,SVRDD_YOLO,train,01002200001307170916572995F_1292973300_484926400,svrdd::train::01002200001307170916572995F_1292973300_484926400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170916572995F_1292973300_484926400.jpg,0,"1.000,674.000,409.000,62.000",62.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
svrdd::train::01002200001307170919492645F_1292926100_484842600::repaired_road::000,SVRDD_YOLO,train,01002200001307170919492645F_1292926100_484842600,svrdd::train::01002200001307170919492645F_1292926100_484842600,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170919492645F_1292926100_484842600.jpg,0,"0.999,793.000,92.000,74.000",74.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
svrdd::train::01002200001307170919530555F_1292923500_484838500::repaired_road::000,SVRDD_YOLO,train,01002200001307170919530555F_1292923500_484838500,svrdd::train::01002200001307170919530555F_1292923500_484838500,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170919530555F_1292923500_484838500.jpg,0,"93.000,625.000,437.000,44.000",44.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
svrdd::train::01002200001307170921076925F_1292864800_484758000::repaired_road::000,SVRDD_YOLO,train,01002200001307170921076925F_1292864800_484758000,svrdd::train::01002200001307170921076925F_1292864800_484758000,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170921076925F_1292864800_484758000.jpg,0,"144.000,668.000,249.000,51.000",51.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
svrdd::train::01002200001307170922018595F_1292826800_484714600::repaired_road::000,SVRDD_YOLO,train,01002200001307170922018595F_1292826800_484714600,svrdd::train::01002200001307170922018595F_1292826800_484714600,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170922018595F_1292826800_484714600.jpg,0,"125.000,700.000,234.000,31.000",31.000,repaired_road,,review_candidate_clear_context,not_individually_reviewed,,,,,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit
