review_id,image_id,source_dataset,source_url,original_source_label,shadow_present,human_decision,reviewer_notes,similarity_score,surface_type,surface_quality,official_train,width,height,resolution_decision,file_size_bytes,sha256,relative_image_path,user_id,captured_at,split_group_id,training_status
SH-01,337962774349768,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,138411,c0384b6ea559aad2fd1b2e1ed1ee9682e9472fd0671c4abbae7cb101b0a5162b,data/raw/v2/streetsurfacevis/s_1024/337962774349768.jpg,103792901858425,1536497278527,streetsurfacevis::337962774349768,approved_shadow_candidate_not_final_split
SH-02,163131436181172,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,576,eligible,115759,35a1e23179c6d813c39553c24e23a19d796d3b9abc0dfd1066120bffb85b6995,data/raw/v2/streetsurfacevis/s_1024/163131436181172.jpg,109842617910576,1644761732000,streetsurfacevis::163131436181172,approved_shadow_candidate_not_final_split
SH-03,958064384954616,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,76879,76a0c83b11bd2baf90caaaef96baeefab3e87806ca0b22e72f2566cecaa32ab1,data/raw/v2/streetsurfacevis/s_1024/958064384954616.jpg,102568745320989,1496254155330,streetsurfacevis::958064384954616,approved_shadow_candidate_not_final_split
SH-04,2947968652146226,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,181716,4bfc98a7ef67daee5c17a7fec759a3d0d63805eb622230efae4d6f7fd4e547a7,data/raw/v2/streetsurfacevis/s_1024/2947968652146226.jpg,103390745232765,1472116751000,streetsurfacevis::2947968652146226,approved_shadow_candidate_not_final_split
SH-05,323186369159822,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,141089,22743f088b98286a77ab75fcfc065bd1d70ee53a5b3c9f92d79e6d79dce67e7b,data/raw/v2/streetsurfacevis/s_1024/323186369159822.jpg,102609045317136,1621712340000,streetsurfacevis::323186369159822,approved_shadow_candidate_not_final_split
SH-06,187811569886501,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,148274,014a7d70e4e28f00316679a874c0f1d49715a69f2b2b5b3cba1b1662279086ec,data/raw/v2/streetsurfacevis/s_1024/187811569886501.jpg,109115837985025,1530959691000,streetsurfacevis::187811569886501,approved_shadow_candidate_not_final_split
SH-07,621218932788649,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,156776,130009d7c42096c8cd612ed67396426d4f5cf58830e007d80392d5ccad265992,data/raw/v2/streetsurfacevis/s_1024/621218932788649.jpg,100232345559807,1681284069217,streetsurfacevis::621218932788649,approved_shadow_candidate_not_final_split
SH-08,292276845787849,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,155430,8b899d5a9e7b495c6460e23573a5c0e4cdb60f6d8f2eef85553546fe43485390,data/raw/v2/streetsurfacevis/s_1024/292276845787849.jpg,102532525320329,1555428164000,streetsurfacevis::292276845787849,approved_shadow_candidate_not_final_split
SH-09,300585424924842,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,212316,f8ede37c66cbd68dc63eb351d5f2e66cf8367935ab25c86137f231453ac3ce00,data/raw/v2/streetsurfacevis/s_1024/300585424924842.jpg,104526851788293,1554038596000,streetsurfacevis::300585424924842,approved_shadow_candidate_not_final_split
SH-10,201999914870482,StreetSurfaceVis_s_1024,https://zenodo.org/records/11449977,Normal_asphalt,Yes,Keep,Visible shadow falls on the road surface,,asphalt,excellent,True,1024,768,eligible,140244,44d227784c9c63d4f58bf036e6dd144f9445ff2542f769dcc73f7bb15b3e5f07,data/raw/v2/streetsurfacevis/s_1024/201999914870482.jpg,110593971165886,1462611839518,streetsurfacevis::201999914870482,approved_shadow_candidate_not_final_split
