candidate_id,primary_road_label,verified_condition,review_id,decision,eligibility
streetsurfacevis::train::1192203861225189,normal_asphalt,no_visible_road_shadow,NS-001,no_shadow_clear,training_candidate
streetsurfacevis::train::1396404087425169,normal_asphalt,no_visible_road_shadow,NS-002,no_shadow_clear,training_candidate
streetsurfacevis::train::334540182574938,normal_asphalt,no_visible_road_shadow,NS-004,no_shadow_clear,training_candidate
streetsurfacevis::train::1692926774505454,normal_asphalt,no_visible_road_shadow,NS-005,no_shadow_clear,training_candidate
streetsurfacevis::train::109544924542566,normal_asphalt,no_visible_road_shadow,NS-006,no_shadow_clear,training_candidate
streetsurfacevis::train::847315406140879,normal_asphalt,no_visible_road_shadow,NS-007,no_shadow_clear,training_candidate
streetsurfacevis::train::799473020675410,normal_asphalt,no_visible_road_shadow,NS-008,no_shadow_clear,training_candidate
streetsurfacevis::train::1168115696947693,normal_asphalt,no_visible_road_shadow,NS-009,no_shadow_clear,training_candidate
streetsurfacevis::train::526564922084202,normal_asphalt,no_visible_road_shadow,NS-010,no_shadow_clear,training_candidate
streetsurfacevis::train::4191081234279145,normal_asphalt,no_visible_road_shadow,NS-011,no_shadow_clear,training_candidate
streetsurfacevis::train::461713041726340,normal_asphalt,no_visible_road_shadow,NS-013,no_shadow_clear,training_candidate
streetsurfacevis::train::117039758001756,normal_asphalt,no_visible_road_shadow,NS-014,no_shadow_clear,training_candidate
streetsurfacevis::train::141317951254952,normal_asphalt,no_visible_road_shadow,NS-015,no_shadow_clear,training_candidate
streetsurfacevis::train::3938530869557425,normal_asphalt,no_visible_road_shadow,NS-016,no_shadow_clear,training_candidate
streetsurfacevis::train::479136550015176,normal_asphalt,no_visible_road_shadow,NS-017,no_shadow_clear,training_candidate
streetsurfacevis::train::873211231021841,normal_asphalt,no_visible_road_shadow,NS-018,no_shadow_clear,training_candidate
streetsurfacevis::train::802322163710717,normal_asphalt,no_visible_road_shadow,NS-020,no_shadow_clear,training_candidate
streetsurfacevis::train::485363269348105,normal_asphalt,no_visible_road_shadow,NS-021,no_shadow_clear,training_candidate
streetsurfacevis::train::753640608659247,normal_asphalt,no_visible_road_shadow,NS-022,no_shadow_clear,training_candidate
streetsurfacevis::train::993568121645717,normal_asphalt,no_visible_road_shadow,NS-023,no_shadow_clear,training_candidate
streetsurfacevis::train::4382010995165875,normal_asphalt,no_visible_road_shadow,NS-024,no_shadow_clear,training_candidate
streetsurfacevis::train::1187791265215775,normal_asphalt,no_visible_road_shadow,NS-026,no_shadow_clear,training_candidate
streetsurfacevis::train::810999677419251,normal_asphalt,no_visible_road_shadow,NS-027,no_shadow_clear,training_candidate
streetsurfacevis::train::1142265532953657,normal_asphalt,no_visible_road_shadow,NS-028,no_shadow_clear,training_candidate
streetsurfacevis::train::482006733705163,normal_asphalt,no_visible_road_shadow,NS-029,no_shadow_clear,training_candidate
streetsurfacevis::train::742872509734606,normal_asphalt,no_visible_road_shadow,NS-030,no_shadow_clear,training_candidate
streetsurfacevis::train::4130993023695364,normal_asphalt,no_visible_road_shadow,NS-031,no_shadow_clear,training_candidate
streetsurfacevis::train::726159688466990,normal_asphalt,no_visible_road_shadow,NS-032,no_shadow_clear,training_candidate
streetsurfacevis::train::744029259612041,normal_asphalt,no_visible_road_shadow,NS-033,no_shadow_clear,training_candidate
streetsurfacevis::train::4285304724821100,normal_asphalt,no_visible_road_shadow,NS-035,no_shadow_clear,training_candidate
streetsurfacevis::train::803521833639155,normal_asphalt,no_visible_road_shadow,NS-036,no_shadow_clear,training_candidate
streetsurfacevis::train::1931077070594607,normal_asphalt,no_visible_road_shadow,NS-038,no_shadow_clear,training_candidate
streetsurfacevis::train::1167198743781110,normal_asphalt,no_visible_road_shadow,NS-039,no_shadow_clear,training_candidate
streetsurfacevis::train::978445736233602,normal_asphalt,no_visible_road_shadow,NS-041,no_shadow_clear,training_candidate
streetsurfacevis::train::277967264903768,normal_asphalt,no_visible_road_shadow,NS-042,no_shadow_clear,training_candidate
streetsurfacevis::train::524805188675918,normal_asphalt,no_visible_road_shadow,NS-043,no_shadow_clear,training_candidate
streetsurfacevis::train::879368329460913,normal_asphalt,no_visible_road_shadow,NS-044,no_shadow_clear,training_candidate
streetsurfacevis::train::1778700352335380,normal_asphalt,no_visible_road_shadow,NS-046,no_shadow_clear,training_candidate
streetsurfacevis::train::155080163794210,normal_asphalt,no_visible_road_shadow,NS-047,no_shadow_clear,training_candidate
streetsurfacevis::train::554372596573093,normal_asphalt,no_visible_road_shadow,NS-048,no_shadow_clear,training_candidate
streetsurfacevis::train::878791416001573,normal_asphalt,no_visible_road_shadow,NS-049,no_shadow_clear,training_candidate
streetsurfacevis::train::145858377503846,normal_asphalt,no_visible_road_shadow,NS-050,no_shadow_clear,training_candidate
streetsurfacevis::train::911250652992836,normal_asphalt,no_visible_road_shadow,NS-051,no_shadow_clear,training_candidate
streetsurfacevis::train::918908606618366,normal_asphalt,no_visible_road_shadow,NS-052,no_shadow_clear,training_candidate
streetsurfacevis::train::848524202410406,normal_asphalt,no_visible_road_shadow,NS-054,no_shadow_clear,training_candidate
streetsurfacevis::train::401175468702884,normal_asphalt,no_visible_road_shadow,NS-055,no_shadow_clear,training_candidate
streetsurfacevis::train::165477135663600,normal_asphalt,no_visible_road_shadow,NS-056,no_shadow_clear,training_candidate
streetsurfacevis::train::818614312100096,normal_asphalt,no_visible_road_shadow,NS-057,no_shadow_clear,training_candidate
streetsurfacevis::train::1129291450892284,normal_asphalt,no_visible_road_shadow,NS-058,no_shadow_clear,training_candidate
streetsurfacevis::train::302428901464558,normal_asphalt,no_visible_road_shadow,NS-059,no_shadow_clear,training_candidate
