source_record_id,source_split,source_label,relative_image_path,sha256,width,height,exact_duplicate_group_id,candidate_status,candidate_reason
train::manhole::manhole (1533).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1533).jpg,8ec236873d7131e62e3bec0d3a5db6395594043f8c29ec204df064216febe529,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1534).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1534).jpg,cf9fbf748a2c25ba7ce96647509c54d1de07072517bf2f843fce6e6f5a746e33,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1535).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1535).jpg,d785bc072cbd190f564f96128b97ed7630b4df448a774e1762fdd5a89851afd3,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1536).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1536).jpg,9398bc4ff26cf061b93f04c97f782e4ff1315f68959c8310290761bf17d72a1d,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1537).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1537).jpg,0f95167654df1a7a402ebb98fb3f0342b55e1af96590319a50ff87f1570ff832,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1538).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1538).jpg,965b79a2d10efa4bad0b587ca5065c02f3708072e119eb84d449371fa03321fa,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1539).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1539).jpg,08774234ddd5991d94cb709146b9660be475655fe07452e5528b5b3f6eddbe0e,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1540).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1540).jpg,8fb0c3d819a7c6a46d913c2574af2ddd27ce7b861d45f34caf315c9b2852e2d7,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1541).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1541).jpg,ebd5e00bb73b57cddceac2e6c204a9d93951ff947417ec9d8592fb7f988c2613,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1542).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1542).jpg,cd2d4b14eabbebce97a3e914fb108f054233295212a281cbab9cf46185e88542,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1543).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1543).jpg,b78cac2e015506ecda7edb019cf7d1815ebcfb9c63beba037699f19ef5a0abcc,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1544).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1544).jpg,a3b3515eac10cd93846c362d1bc29d9e6cbb540e5413d80e2a68186647d769fb,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1545).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1545).jpg,a0f71b15cf3e7a26c523b225d8e7e3024c172d7bc7b11e9cc3273a25304a73bf,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1546).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1546).jpg,e83b93504c4f046b635c4e10100fb4a610b9675a66029872c1009b1dcbc07072,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1547).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1547).jpg,949715f7ba89c7895a831d7448a5943aee340dd47b25be1b3cfd1ccf2ee637b3,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1548).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1548).jpg,3314ff0577440b24f4814ae1acd8ae814121ca9d214a29c3eab1a4895efdaa41,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1549).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1549).jpg,83006e5bcc0039c0343054d54cec562100c0bb498fe17fd1dfa7196633a35306,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1550).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1550).jpg,cab83a5e0a638de4c7f88587ddad4b7d48a0599f955820a64863b2a617a9cd20,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1551).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1551).jpg,447688142d5b04374a16eb268d12126b90dbaff37a8af61215e13d1e1c448135,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1552).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1552).jpg,9611bf1024ec1e6e3965200dfb2c865f179f27c6a2175af21e56da55eda942ac,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1553).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1553).jpg,4613d7bd7cddf302c288e7ee509aa1bcc4561a819be8118049139ece3f9d562e,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1554).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1554).jpg,4720ea7d70640d22ed663127f68ef9c9dd0fb53f12e55820ef8f650e5b4e2f11,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1555).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1555).jpg,313766f0102b443f2642fcaf66b8890ebdda0aba8d4f8e3c38e56e92994afa3c,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1556).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1556).jpg,a92dcbde423250ffc8ebe7110a5c211cda199a8854b76a9ecf5f68c61862152e,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1557).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1557).jpg,bbdbb8869422ae8de1e2cea8482459250383dc9564998c62ab5bda427e7d86bd,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1558).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1558).jpg,b893dc2c17788efdedf218349ce171765092ac5ed85039536fbb79b68bf6d0c3,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1559).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1559).jpg,029345a62827e96b6e77d28eeab4633348cae4cb11839286b4f10979900a2057,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1560).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1560).jpg,54d32a2612d508fb96ebf83a2d4fec0f9f8959a696c4bb7e8f1c1cab8da8b05c,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1561).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1561).jpg,dabfaf5688a9fdfa4efcaa6b27e9a6b12220fdacbcfe411222799e985f990696,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1562).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1562).jpg,21a61df73dd766e58335ff128e50451e786d2835447882eadf7ccb881a5c7c0e,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1563).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1563).jpg,fdd4d0fa88b15d317aec6a41dad676bb7d5285f20f6fadcf00ceca994671e75e,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1564).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1564).jpg,b83340ee0aa0cd57f750a8cc567e5d9310bd54990b4c189b6b88c94dec1c5ca6,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1565).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1565).jpg,052a67ddd91cac6d4939bf078a36763600c11115ea10517ff9d90878c9919cd2,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1566).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1566).jpg,d139d74ad4a8b18a7b623a433a785240d05497a6c12a667b564c5c0097937c26,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1567).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1567).jpg,217c2efa9928de140ea3d9d3e7ed4898a8234368e0b9b37189ce6a3d930466ed,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1568).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1568).jpg,ccdf1ce2be2fcd80e13d96985e2fa5eb1a08f551114e4b835e80227a3013550d,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1569).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1569).jpg,b8fe03fd82bb610da5ddfb5c3af49a592ef38b3589bbe3cdfaa30df855dd0b98,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1570).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1570).jpg,e3243dfe53eeb8c8302a94b8c170bbacb606d4b69f5db528748ef8a42a7704ea,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
train::manhole::manhole (1571).jpg,train,manhole,data/raw/v2/hf_manhole_covers/train/train/manhole/manhole (1571).jpg,e0b5320d0c2a4bebf7f6237e78a43ad79977601610cd7649d0c24bf61df09dad,224,224,,source_train_manhole_candidate,"source train image labelled manhole; image-level candidate only, no boxes"
