review_round,sample_id,source_class,source_file,human_decision,reviewer_note,record_action,class_gate_policy,evidence_flag
round_1,alligator_01,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_GA01B-556+306250-555+865000-0-5.jpg,unclear_exclude,,exclude_unclear,conditionally_usable_after_deduplication_and_new_split,missing_reviewer_note
round_1,alligator_02,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_GA01B-556+027875-555+589000-3-5.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_03,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_SA20A-041+919875-042+252000-0-1.jpg,unclear_exclude,Do not see the crack here,exclude_unclear,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_04,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_GA01B-553+660625-553+218375-3-5.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_05,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_GA01B-552+632125-552+192375-0-0.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_06,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_SA20A-041+403500-041+738625-0-2.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_07,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_GA01B-553+356750-552+918250-0-4.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_08,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_SA20A-041+868875-042+202750-0-2.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_09,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_SA20A-041+401375-041+736500-2-5.jpg,wrong_box,I only see normlal asphalt,exclude_wrong_box,conditionally_usable_after_deduplication_and_new_split,decision_note_inconsistent_note_says_normal_asphalt
round_1,alligator_10,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_GA01B-553+038000-552+596375-2-1.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_11,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_GA01B-556+355125-555+914625-3-0.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,alligator_12,alligator,data/raw/v2/pavebench/data/Distress_Detection/images/train/alligator_SA20A-041+996375-042+330250-2-3.jpg,approve,,candidate_keep_reviewed_sample,conditionally_usable_after_deduplication_and_new_split,ok
round_1,crack_01,crack,data/raw/v2/pavebench/data/Distress_Detection/images/train/crack_SA20A-041+924125-042+256250-2-5.jpg,unclear_exclude,Defect cannot be identified confidently,exclude_unclear,manual_cleaning_required_no_bulk_acceptance,ok
round_1,crack_02,crack,data/raw/v2/pavebench/data/Distress_Detection/images/train/crack_SA20A-042+032500-042+367500-3-1.jpg,unclear_exclude,Defect cannot be identified confidently,exclude_unclear,manual_cleaning_required_no_bulk_acceptance,ok
round_1,crack_03,crack,data/raw/v2/pavebench/data/Distress_Detection/images/train/crack_GA01B-553+316375-552+877625-0-0.jpg,approve,,candidate_keep_reviewed_sample,manual_cleaning_required_no_bulk_acceptance,ok
round_1,crack_04,crack,data/raw/v2/pavebench/data/Distress_Detection/images/train/crack_GA01B-554+302375-553+865500-2-3.jpg,unclear_exclude,Defect cannot be identified confidently,exclude_unclear,manual_cleaning_required_no_bulk_acceptance,ok
round_1,crack_05,crack,data/raw/v2/pavebench/data/Distress_Detection/images/train/crack_GA01B-552+632125-552+192375-1-4.jpg,unclear_exclude,Defect cannot be identified confidently,exclude_unclear,manual_cleaning_required_no_bulk_acceptance,ok
round_1,crack_06,crack,data/raw/v2/pavebench/data/Distress_Detection/images/train/crack_S202B-102+991415-102+719879-1-2.jpg,approve,,candidate_keep_reviewed_sample,manual_cleaning_required_no_bulk_acceptance,ok
