candidate_id,class_label,source_dataset,source_split,source_image_id,split_group_id,region,source_image_path,materialized_image_path,target_box_xywh,crop_box_xyxy,target_box_in_crop_xywh,crop_width,crop_height,training_status,evidence_status,output_sha256,deduplication_status,duplicate_group_size,kept_candidate_id,deduplication_reason
svrdd::train::01002200001307241446029725B_1293488400_484897100::repaired_road::002,repaired_road,SVRDD_YOLO,train,01002200001307241446029725B_1293488400_484897100,svrdd::train::01002200001307241446029725B_1293488400_484897100,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241446029725B_1293488400_484897100.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_f19ba5b583de9a3a1fe333b1.jpg,"36.000,593.000,742.000,71.000","0,0,1024,1024","36.000,593.000,742.000,71.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,11af7f86236507c73d7f4a448d7fd533711a3398be75aba147a203d0a299325d,exclude_exact_duplicate_content,2,svrdd::train::01002200001307241446029725B_1293488400_484897100::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121706211048043432I_1294819300_480742100::repaired_road::001,repaired_road,SVRDD_YOLO,train,09002200121706211048043432I_1294819300_480742100,svrdd::train::09002200121706211048043432I_1294819300_480742100,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121706211048043432I_1294819300_480742100.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_902398520f60d6f0e63b4b8e.jpg,"0.999,750.000,917.000,93.000","0,0,1024,1024","0.999,750.000,917.000,93.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,53b37eb37b0d633b883ad06bca59a4e415ee75ef0e67ae4a8cf28a5daa2ccfdc,exclude_exact_duplicate_content,2,svrdd::train::09002200121706211048043432I_1294819300_480742100::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121706251458358702I_1294726500_481181600::repaired_road::001,repaired_road,SVRDD_YOLO,train,09002200121706251458358702I_1294726500_481181600,svrdd::train::09002200121706251458358702I_1294726500_481181600,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121706251458358702I_1294726500_481181600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_0e805b57d31bf069450e018f.jpg,"118.000,854.001,614.000,61.000","0,0,1024,1024","118.000,854.001,614.000,61.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,066964189c1e3ec447531e33754e8a301414a7f45bd79de00dd4884d4855eb09,exclude_exact_duplicate_content,2,svrdd::train::09002200121706251458358702I_1294726500_481181600::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081401444672I_1294583300_481574800::repaired_road::001,repaired_road,SVRDD_YOLO,train,09002200121707081401444672I_1294583300_481574800,svrdd::train::09002200121707081401444672I_1294583300_481574800,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081401444672I_1294583300_481574800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_82b1a2507e0c5149fff7e5ce.jpg,"573.000,813.000,451.000,123.000","0,0,1024,1024","573.000,813.000,451.000,123.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,a4aa3e39281a696d9e0f5f8f83b4873d292a415c7999be025f4a8610f4187fb4,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081401444672I_1294583300_481574800::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081407227922I_1294539600_481995800::repaired_road::001,repaired_road,SVRDD_YOLO,train,09002200121707081407227922I_1294539600_481995800,svrdd::train::09002200121707081407227922I_1294539600_481995800,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081407227922I_1294539600_481995800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_f16592e7e0fb8c008fa8d14e.jpg,"21.000,708.000,865.000,114.000","0,0,1024,1024","21.000,708.000,865.000,114.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,b8343402d5953f57a06ed15201c9e42f3cc57479494ce1b6975c1eb6454ef714,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081407227922I_1294539600_481995800::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081408044082I_1294525100_482024600::repaired_road::002,repaired_road,SVRDD_YOLO,train,09002200121707081408044082I_1294525100_482024600,svrdd::train::09002200121707081408044082I_1294525100_482024600,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081408044082I_1294525100_482024600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_9c79c629831c269d5856fa24.jpg,"145.000,691.000,671.000,67.000","0,0,1024,1024","145.000,691.000,671.000,67.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,1f53cb6346a56e3bd5f4952af1dbfcf4e6805b41e5079c470cb8019ffe8eb99e,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081408044082I_1294525100_482024600::repaired_road::001,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081430331062I_1295016000_481455000::repaired_road::002,repaired_road,SVRDD_YOLO,train,09002200121707081430331062I_1295016000_481455000,svrdd::train::09002200121707081430331062I_1295016000_481455000,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081430331062I_1295016000_481455000.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_c88566e6aefe5233026eafac.jpg,"1.000,823.000,1023.000,94.000","0,0,1024,1024","1.000,823.000,1023.000,94.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,ee7d591fc85a657609a7a8926f99f3c33a3c12adc3ae4276f3129e66d7e91b52,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081430331062I_1295016000_481455000::repaired_road::001,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081435291012B_1294598900_481970300::repaired_road::004,repaired_road,SVRDD_YOLO,train,09002200121707081435291012B_1294598900_481970300,svrdd::train::09002200121707081435291012B_1294598900_481970300,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081435291012B_1294598900_481970300.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_c678d4ac7a4cedc32d40091c.jpg,"223.000,739.000,801.000,127.000","0,0,1024,1024","223.000,739.000,801.000,127.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,a4531d9f3229ed232e2e1e8afd6d8e61a367832bc42f41d7da544a8f9ec78d49,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081435291012B_1294598900_481970300::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081436041512B_1294641500_481973700::repaired_road::004,repaired_road,SVRDD_YOLO,train,09002200121707081436041512B_1294641500_481973700,svrdd::train::09002200121707081436041512B_1294641500_481973700,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081436041512B_1294641500_481973700.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_c2d52f98e30068902d4cf5ad.jpg,"0.999,744.000,561.000,91.000","0,0,1024,1024","0.999,744.000,561.000,91.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,bd7574af62c75853614261d2328fa3a4063bb5c63f8c7428a95becd0ad3d88bc,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081436041512B_1294641500_481973700::repaired_road::002,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081438191552I_1295627400_481475500::repaired_road::001,repaired_road,SVRDD_YOLO,train,09002200121707081438191552I_1295627400_481475500,svrdd::train::09002200121707081438191552I_1295627400_481475500,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081438191552I_1295627400_481475500.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_a67f92e8ec3368ca2185d15f.jpg,"205.000,856.001,819.000,71.999","0,0,1024,1024","205.000,856.001,819.000,71.999",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,b1185b113a0d35e96dd91b2e0fadf0d59653c343322ac1337f993675f169272a,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081438191552I_1295627400_481475500::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081438413952I_1295645200_481476700::repaired_road::003,repaired_road,SVRDD_YOLO,train,09002200121707081438413952I_1295645200_481476700,svrdd::train::09002200121707081438413952I_1295645200_481476700,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081438413952I_1295645200_481476700.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_0eb886906ce298b51a8cba7b.jpg,"1.000,728.999,908.000,133.000","0,0,1024,1024","1.000,728.999,908.000,133.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,6d42a69b8fe1b6ffaee24b15a1857886e3cb4fdf7b9fba58de970b8efeb97e4a,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081438413952I_1295645200_481476700::repaired_road::002,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081441380712I_1295831000_481486000::repaired_road::003,repaired_road,SVRDD_YOLO,train,09002200121707081441380712I_1295831000_481486000,svrdd::train::09002200121707081441380712I_1295831000_481486000,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081441380712I_1295831000_481486000.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_aa53a4a7b801c82e90d5714d.jpg,"474.000,716.000,516.000,54.000","0,0,1024,1024","474.000,716.000,516.000,54.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,f8cbb29ec4723e0551ba55e0d4e804037db77737c81f06c2d1b665cecc44e663,exclude_exact_duplicate_content,2,svrdd::train::09002200121707081441380712I_1295831000_481486000::repaired_road::001,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081444225162I_1296112000_481484600::repaired_road::001,repaired_road,SVRDD_YOLO,train,09002200121707081444225162I_1296112000_481484600,svrdd::train::09002200121707081444225162I_1296112000_481484600,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081444225162I_1296112000_481484600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_1d9c32bdfe98ddc7db964a35.jpg,"330.000,694.000,694.000,87.000","0,0,1024,1024","330.000,694.000,694.000,87.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,3318ecac157fade818a2a7a3465787a589235361a0d5347fc643d2e32ffe269b,exclude_exact_duplicate_content,3,svrdd::train::09002200121707081444225162I_1296112000_481484600::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121707081444225162I_1296112000_481484600::repaired_road::002,repaired_road,SVRDD_YOLO,train,09002200121707081444225162I_1296112000_481484600,svrdd::train::09002200121707081444225162I_1296112000_481484600,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081444225162I_1296112000_481484600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_c95d89764a1c63ff47f4f36d.jpg,"104.000,663.000,428.000,54.000","0,0,1024,1024","104.000,663.000,428.000,54.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,3318ecac157fade818a2a7a3465787a589235361a0d5347fc643d2e32ffe269b,exclude_exact_duplicate_content,3,svrdd::train::09002200121707081444225162I_1296112000_481484600::repaired_road::000,same_output_sha256_as_kept_candidate
svrdd::train::09002200121901201344366532L_1295282200_482066000::repaired_road::004,repaired_road,SVRDD_YOLO,train,09002200121901201344366532L_1295282200_482066000,svrdd::train::09002200121901201344366532L_1295282200_482066000,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121901201344366532L_1295282200_482066000.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_c7f1b75026087136c2a08085.jpg,"1.000,636.000,431.000,353.000","0,0,1024,1024","1.000,636.000,431.000,353.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,3c592f9278ab17a337a164ec86707a28437e490eb476497cc251739233ec17fc,exclude_exact_duplicate_content,2,svrdd::train::09002200121901201344366532L_1295282200_482066000::repaired_road::002,same_output_sha256_as_kept_candidate
svrdd::train::09002200121901201517427272L_1295754300_482055000::repaired_road::003,repaired_road,SVRDD_YOLO,train,09002200121901201517427272L_1295754300_482055000,svrdd::train::09002200121901201517427272L_1295754300_482055000,Dongcheng,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901201517427272L_1295754300_482055000.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_b620e74992eba88d6b0f6fc2.jpg,"295.000,691.000,579.000,62.000","0,0,1024,1024","295.000,691.000,579.000,62.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,dbc15a55ce0dd589664d5b92258fe2f87a56a6d8e8d6fe088d7726604b4a2970,exclude_exact_duplicate_content,2,svrdd::train::09002200121901201517427272L_1295754300_482055000::repaired_road::001,same_output_sha256_as_kept_candidate
svrdd::train::09002200121901201521546082L_1295491500_482025900::repaired_road::006,repaired_road,SVRDD_YOLO,train,09002200121901201521546082L_1295491500_482025900,svrdd::train::09002200121901201521546082L_1295491500_482025900,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121901201521546082L_1295491500_482025900.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_855b7f762998a080fe7de973.jpg,"463.000,638.000,561.000,50.000","0,0,1024,1024","463.000,638.000,561.000,50.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,cef5eda8c8964246a9d0ec263be2bbd09508b1d91af66ee6a996395a2bed2509,exclude_exact_duplicate_content,2,svrdd::train::09002200121901201521546082L_1295491500_482025900::repaired_road::004,same_output_sha256_as_kept_candidate
