candidate_id,source_image_path,proposed_multiclass_label,split_group_id,split,source_sha256,materialized_image_path,materialized_sha256,verification_status
github_pothole::github_pothole::img-1,data/raw/v2/pothole_github/Pothole Dataset/img-1.jpg,pothole,jaygala24_pothole_detection::github_pothole::img-1,train,a1b2da05c00ea71461a90815005b3b38d8ce8a1d603b3e4d0445513df7ae9a30,data/processed/v2/multiclass_final/train/pothole/c7d6f54ee0d782e99362091c.jpg,a1b2da05c00ea71461a90815005b3b38d8ce8a1d603b3e4d0445513df7ae9a30,existing_hash_matches_source
github_pothole::github_pothole::img-10,data/raw/v2/pothole_github/Pothole Dataset/img-10.jpg,pothole,jaygala24_pothole_detection::github_pothole::img-10,train,cf7038981864142a0d2fce14e07f6ff6a3a6e13a7815c82921bf2b6e529bbabb,data/processed/v2/multiclass_final/train/pothole/b2adc4465f5c3cf53307f8f6.jpg,cf7038981864142a0d2fce14e07f6ff6a3a6e13a7815c82921bf2b6e529bbabb,existing_hash_matches_source
github_pothole::github_pothole::img-100,data/raw/v2/pothole_github/Pothole Dataset/img-100.jpg,pothole,jaygala24_pothole_detection::github_pothole::img-100,train,119e1495b6572fca432c89caffa98ccbc6d2d11143ccf984ac6a9cc839f6af02,data/processed/v2/multiclass_final/train/pothole/dcae22ed6847dfb366186c99.jpg,119e1495b6572fca432c89caffa98ccbc6d2d11143ccf984ac6a9cc839f6af02,existing_hash_matches_source
github_pothole::github_pothole::img-1000,data/raw/v2/pothole_github/Pothole Dataset/img-1000.jpg,pothole,jaygala24_pothole_detection::github_pothole::img-1000,train,fe61b79aeef03747748770e1d165d9ab4f1e8d20ff5604e2ac2fb58c8e6f0ca7,data/processed/v2/multiclass_final/train/pothole/a14e8c228f3b9a03566ee168.jpg,fe61b79aeef03747748770e1d165d9ab4f1e8d20ff5604e2ac2fb58c8e6f0ca7,existing_hash_matches_source
github_pothole::github_pothole::img-1001,data/raw/v2/pothole_github/Pothole Dataset/img-1001.jpg,pothole,jaygala24_pothole_detection::github_pothole::img-1001,train,304a6babaf6ba60bb14c032b124d31c9ef32b9ba0e617d9f7f20c2c49f23ccc6,data/processed/v2/multiclass_final/train/pothole/b482cdc1708e22c81d9c73a8.jpg,304a6babaf6ba60bb14c032b124d31c9ef32b9ba0e617d9f7f20c2c49f23ccc6,existing_hash_matches_source
github_pothole::github_pothole::img-1002,data/raw/v2/pothole_github/Pothole Dataset/img-1002.jpg,pothole,near_duplicate_family::f13f9fef14c114be,train,31abafaa34bc0f03c4a25453c6428c5a650c88f3e467768617e2891b14911466,data/processed/v2/multiclass_final/train/pothole/fbda216a17d8c58e5bc44e55.jpg,31abafaa34bc0f03c4a25453c6428c5a650c88f3e467768617e2891b14911466,existing_hash_matches_source
github_pothole::github_pothole::img-1003,data/raw/v2/pothole_github/Pothole Dataset/img-1003.jpg,pothole,near_duplicate_family::649c56ff080fa713,train,16e64a975bf5bec63418dea8fa11aaa53df4ab522e1b7de0f8d2a9fca6f7fa12,data/processed/v2/multiclass_final/train/pothole/2d0791fd76a44be04116a0b0.jpg,16e64a975bf5bec63418dea8fa11aaa53df4ab522e1b7de0f8d2a9fca6f7fa12,existing_hash_matches_source
github_pothole::github_pothole::img-1004,data/raw/v2/pothole_github/Pothole Dataset/img-1004.jpg,pothole,jaygala24_pothole_detection::github_pothole::img-1004,train,714697274f03d855923b209668fd4559fa33d57826531414263358375de1b444,data/processed/v2/multiclass_final/train/pothole/8584bae5b5fb3f31ecc1b7dc.jpg,714697274f03d855923b209668fd4559fa33d57826531414263358375de1b444,existing_hash_matches_source
github_pothole::github_pothole::img-1006,data/raw/v2/pothole_github/Pothole Dataset/img-1006.jpg,pothole,near_duplicate_family::4b5e0b1b41d50360,train,d46241aa3e786b535eaf9681f5d62a39f468bd66f8c3f90004afced567a73dc9,data/processed/v2/multiclass_final/train/pothole/982af742d82bfff90e6baa21.jpg,d46241aa3e786b535eaf9681f5d62a39f468bd66f8c3f90004afced567a73dc9,existing_hash_matches_source
github_pothole::github_pothole::img-1007,data/raw/v2/pothole_github/Pothole Dataset/img-1007.jpg,pothole,near_duplicate_family::e0a454640b9c1fbc,train,aa8bf6e9552d3990ce99fa5772b89a0a60d9140d21eba8aac96ac524db8b35ba,data/processed/v2/multiclass_final/train/pothole/eb2598992bdfbe93dbaaf407.jpg,aa8bf6e9552d3990ce99fa5772b89a0a60d9140d21eba8aac96ac524db8b35ba,existing_hash_matches_source
