candidate_id,dataset,revision,split,scene_group,row_idx,source_filename,image_path,mask_path,width,height,shadow_coverage,review_status,review_decision,review_notes
ISTD_SHADOW_001,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,25,248,25-8.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0248_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0248_mask.png,640,480,0.374167,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_002,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,14,72,14-4.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0072_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0072_mask.png,640,480,0.370677,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_003,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,80,1133,80-16.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_1133_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_1133_mask.png,640,480,0.22207,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_004,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,87,1269,87-16.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_1269_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_1269_mask.png,640,480,0.194844,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_005,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,19,164,19-3.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0164_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0164_mask.png,640,480,0.211172,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_006,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,26,258,26-2.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0258_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0258_mask.png,640,480,0.183789,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_007,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,23,217,23-6.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0217_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0217_mask.png,640,480,0.151784,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_008,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,68,939,68-15.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0939_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0939_mask.png,640,480,0.129076,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_009,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,15,85,15-16.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0085_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0085_mask.png,640,480,0.260768,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_010,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,75,1051,75-5.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_1051_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_1051_mask.png,640,480,0.430846,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_011,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,3,305,3-4.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0305_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0305_mask.png,640,480,0.276237,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_012,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,39,465,39-10.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0465_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0465_mask.png,640,480,0.108789,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_013,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,44,568,44-10.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0568_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0568_mask.png,640,480,0.157109,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_014,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,42,539,42-3.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0539_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0539_mask.png,640,480,0.142357,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_015,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,5,662,5-2.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0662_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0662_mask.png,640,480,0.329635,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_016,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,40,495,40-2.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0495_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0495_mask.png,640,480,0.262214,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_017,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,45,599,45-4.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0599_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0599_mask.png,640,480,0.312292,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_018,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,84,1204,84-17.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_1204_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_1204_mask.png,640,480,0.189049,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_019,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,51,694,51-4.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_0694_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_0694_mask.png,640,480,0.243945,completed,keep,Approved by project owner on 2026-09-14
ISTD_SHADOW_020,Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,82,1174,82-6.png,data/raw/v2/istd_shadow_pretraining_sample/images/istd_train_1174_image.jpg,data/raw/v2/istd_shadow_pretraining_sample/masks/istd_train_1174_mask.png,640,480,0.215299,completed,keep,Approved by project owner on 2026-09-14
